1,2
1,8
1,9
1,10
1,11
1,18
1,19
1,21
1,22
1,23
1,24
1,28
1,31
1,32
1,34
1,35
1,36
1,37
1,38
1,39
1,45
1,46
1,47
1,51
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,62
1,63
1,69
1,71
1,74
2,2
2,8
2,9
2,10
2,11
2,18
2,19
2,21
2,22
2,23
2,24
2,28
2,31
2,34
2,35
2,36
2,37
2,38
2,39
2,45
2,46
2,47
2,51
2,53
2,54
2,55
2,57
2,58
2,62
2,63
2,69
2,71
2,74
3,4
3,7
3,9
3,10
3,11
3,15
3,16
3,18
3,19
3,21
3,22
3,23
3,24
3,25
3,28
3,30
3,31
3,33
3,34
3,35
3,36
3,37
3,38
3,39
3,41
3,45
3,46
3,47
3,50
3,53
3,54
3,55
3,58
3,62
3,63
3,64
3,65
3,69
3,70
3,71
3,72
3,74
4,2
4,9
4,10
4,11
4,18
4,19
4,21
4,22
4,23
4,24
4,28
4,31
4,34
4,35
4,36
4,37
4,38
4,39
4,45
4,46
4,47
4,53
4,54
4,55
4,58
4,62
4,63
4,69
4,71
4,74
5,2
5,5
5,6
5,8
5,12
5,13
5,16
5,17
5,19
5,26
5,27
5,29
5,32
5,40
5,51
5,59
5,61
5,66
5,67
5,68
5,72
6,2
6,12
6,13
6,14
6,17
6,19
6,20
6,26
6,27
6,29
6,32
6,57
6,68
6,73
7,2
7,6
7,8
7,9
7,10
7,11
7,16
7,18
7,19
7,21
7,22
7,23
7,24
7,28
7,31
7,32
7,34
7,35
7,36
7,37
7,38
7,39
7,40
7,45
7,46
7,47
7,51
7,53
7,54
7,55
7,57
7,58
7,61
7,62
7,63
7,67
7,68
7,69
7,71
7,72
7,74
8,9
8,10
8,11
8,18
8,21
8,22
8,23
8,24
8,25
8,28
8,31
8,34
8,35
8,36
8,37
8,38
8,39
8,45
8,46
8,47
8,53
8,54
8,55
8,58
8,62
8,63
8,69
8,71
8,74
9,2
9,6
9,8
9,9
9,10
9,11
9,17
9,18
9,19
9,21
9,22
9,23
9,24
9,28
9,29
9,31
9,32
9,34
9,35
9,36
9,37
9,38
9,39
9,41
9,42
9,43
9,44
9,45
9,46
9,47
9,48
9,49
9,52
9,53
9,54
9,55
9,58
9,60
9,62
9,63
9,65
9,68
9,69
9,71
9,74
10,2
10,5
10,8
10,9
10,10
10,11
10,16
10,19
10,21
10,22
10,23
10,24
10,28
10,31
10,32
10,34
10,35
10,36
10,38
10,39
10,45
10,46
10,47
10,51
10,53
10,54
10,57
10,58
10,59
10,62
10,63
10,69
10,71
10,74
11,1
11,3
11,6
11,12
11,13
11,14
11,17
11,26
11,27
11,29
11,40
11,61
11,67
11,68
11,73
